學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084507,34,1,9,2,32,02:53:59,084507_s00190
084507,23,1,27,2,3,00:37:42,084507_s00191
084507,11,1,19,0,2,00:14:09,084507_s00192
084507,22,0,4,2,38,02:13:04,084507_s00193
084507,18,0,11,2,0,00:31:29,084507_s00194
084507,23,0,15,1,1,00:09:00,084507_s00195
084507,28,1,20,2,7,00:48:59,084507_s00196
084507,3,0,3,0,0,00:00:00,084507_s00197
084507,1,0,1,0,0,00:00:00,084507_s00198
084507,2,1,2,0,0,00:00:00,084507_s00199
084507,2,1,1,0,0,00:00:00,084507_s00200
084507,1,0,0,0,0,00:00:00,084507_s00201
084507,2,1,1,0,0,00:00:00,084507_s00202
084507,2,0,1,0,0,00:00:00,084507_s00203
084507,3,1,1,0,0,00:00:00,084507_s00204
084507,2,1,0,0,0,00:00:00,084507_s00205
084507,1,0,1,0,0,00:00:00,084507_s00206
084507,1,0,0,0,0,00:00:00,084507_s00207
084507,1,0,1,0,0,00:00:00,084507_s00208
084507,2,0,1,0,0,00:00:00,084507_s00209
084507,20,1,11,2,9,01:06:44,084507_s00210
084507,1,0,1,0,0,00:00:00,084507_s00211
084507,2,1,0,0,0,00:00:00,084507_s00212
084507,1,0,0,0,0,00:00:00,084507_s00213
084507,15,1,17,2,5,00:31:00,084507_s00214
084507,1,0,0,0,0,00:00:00,084507_s00215
084507,2,0,0,0,0,00:00:00,084507_s00216
084507,20,1,30,0,5,00:02:15,084507_s00217
084507,11,0,10,2,0,00:00:09,084507_s00218
084507,1,0,2,0,0,00:00:00,084507_s00219
084507,1,0,0,0,0,00:00:00,084507_s00220
084507,1,0,0,0,0,00:00:00,084507_s00221
084507,7,1,3,0,9,00:53:41,084507_s00222
084507,32,35,33,0,4,00:05:53,084507_s00223
084507,33,21,3,0,3,00:00:51,084507_s00224
084507,29,27,1,0,3,00:06:10,084507_s00225
084507,32,24,6,0,5,00:01:01,084507_s00226
084507,41,23,14,0,3,00:00:58,084507_s00227
084507,37,19,1,0,8,00:12:09,084507_s00228
084507,24,21,4,0,8,00:12:53,084507_s00229
084507,29,20,8,0,3,00:17:32,084507_s00230
084507,51,22,22,0,8,00:34:14,084507_s00231
084507,35,20,6,0,7,00:08:56,084507_s00232
084507,26,21,8,0,8,01:10:01,084507_s00233
084507,31,19,2,0,13,01:07:22,084507_s00234
084507,31,20,4,0,14,00:51:57,084507_s00235
084507,29,22,0,0,8,00:23:02,084507_s00236
084507,20,20,4,0,0,00:00:00,084507_s00237
084507,47,22,3,0,2,00:14:21,084507_s00238
084507,28,22,2,0,2,00:02:40,084507_s00239
084507,54,21,7,0,1,00:00:00,084507_s00240
084507,35,18,5,0,4,00:25:33,084507_s00241
084507,23,16,1,0,9,00:33:22,084507_s00242
084507,22,17,0,0,6,00:08:57,084507_s00243
084507,50,27,7,0,1,00:00:00,084507_s00244
084507,27,25,0,0,4,00:15:27,084507_s00245
084507,77,30,2,0,6,00:41:07,084507_s00246
084507,24,21,0,0,5,00:07:48,084507_s00247
084507,23,21,3,0,4,00:05:08,084507_s00248
084507,26,22,2,0,11,00:54:01,084507_s00249
084507,21,30,16,0,2,00:16:39,084507_s00250
084507,30,26,1,0,1,00:03:03,084507_s00251
084507,20,16,2,0,4,00:18:11,084507_s00252
084507,23,17,5,0,1,00:00:43,084507_s00253
084507,35,16,4,0,6,00:05:53,084507_s00254
084507,24,15,7,0,0,00:00:00,084507_s00255
084507,32,20,1,0,1,00:02:50,084507_s00256
084507,33,21,7,0,5,00:00:31,084507_s00257
084507,49,19,3,0,53,32:50:58,084507_s00258
084507,22,11,0,0,0,00:00:00,084507_s00259
084507,24,18,5,0,10,00:08:29,084507_s00260
084507,32,15,7,0,5,00:41:29,084507_s00261
084507,29,15,4,0,11,00:41:33,084507_s00262
084507,46,12,16,0,7,00:46:49,084507_s00263
084507,15,12,1,0,2,00:08:24,084507_s00264
084507,60,22,12,0,85,11:42:47,084507_s00265
084507,26,14,2,0,24,00:20:56,084507_s00266
084507,22,15,3,0,2,00:00:42,084507_s00267
084507,35,17,6,0,6,00:03:41,084507_s00268
084507,39,22,5,0,11,00:01:04,084507_s00269
084507,23,15,2,0,4,00:01:19,084507_s00270
084507,33,12,18,0,14,00:05:34,084507_s00271
084507,16,10,4,0,0,00:00:00,084507_s00272
084507,33,12,2,0,9,01:09:56,084507_s00273
084507,5,1,0,0,0,00:00:00,084507_s00274
084507,3,0,0,0,4,00:03:20,084507_s00275
084507,6,0,0,0,1,00:30:05,084507_s00276
084507,2,0,0,0,1,00:01:04,084507_s00277
084507,5,0,1,0,3,00:24:51,084507_s00278
084507,4,0,0,0,10,00:06:54,084507_s00279
084507,7,0,4,0,0,00:00:00,084507_s00280
084507,6,0,0,0,2,00:20:35,084507_s00281
084507,5,0,1,0,3,00:00:18,084507_s00282
084507,4,0,0,0,2,00:39:46,084507_s00283
084507,3,0,0,0,0,00:00:00,084507_s00284
084507,3,0,0,0,0,00:00:00,084507_s00285
084507,5,0,0,0,2,00:03:42,084507_s00286
084507,4,0,3,0,2,00:14:25,084507_s00287
084507,4,0,0,0,0,00:00:00,084507_s00288
084507,3,0,2,0,0,00:00:00,084507_s00289
084507,3,0,0,0,0,00:00:00,084507_s00290
084507,8,0,0,0,2,00:00:19,084507_s00291
084507,3,0,0,0,1,00:00:04,084507_s00292
084507,5,0,0,0,0,00:00:00,084507_s00293
084507,4,0,0,0,2,00:02:03,084507_s00294
